Aarão,Baqui,Carlo,Davi,Edmundo,Fabiano,Gabínio,Habacuc,Iag,Jabes,Kévim ,Ladislau,Macário,Nabor,Oceano,Pacal,Quaresma,Râdamas,Sabino,Taciano,Ubaldo,Vaíse,Wilson,Xavier,Yuri,Zacarias
Alivar,,,,,,,,,,,,,,,,,,,,,,,,,
Alívio,,,,,,,,,,,,,,,,,,,,,,,,,
Almerindo,,,,,,,,,,,,,,,,,,,,,,,,,
Almiro,,,,,,,,,,,,,,,,,,,,,,,,,
Almirodo,,,,,,,,,,,,,,,,,,,,,,,,,
Almurtão,,,,,,,,,,,,,,,,,,,,,,,,,
Aloís,,,,,,,,,,,,,,,,,,,,,,,,,
Aloísio,,,,,,,,,,,,,,,,,,,,,,,,,
Alpoim,,,,,,,,,,,,,,,,,,,,,,,,,
Altino,,,,,,,,,,,,,,,,,,,,,,,,,
Alvarim,,,,,,,,,,,,,,,,,,,,,,,,,
Alvarino,,,,,,,,,,,,,,,,,,,,,,,,,
Alvário,,,,,,,,,,,,,,,,,,,,,,,,,
Álvaro,,,,,,,,,,,,,,,,,,,,,,,,,
Alvino,,,,,,,,,,,,,,,,,,,,,,,,,
Amável,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrósio,,,,,,,,,,,,,,,,,,,,,,,,,
Américo,,,,,,,,,,,,,,,,,,,,,,,,,
Amílcar,,,,,,,,,,,,,,,,,,,,,,,,,
Aminadabe,,,,,,,,,,,,,,,,,,,,,,,,,
Amorim,,,,,,,,,,,,,,,,,,,,,,,,,
Amós,,,,,,,,,,,,,,,,,,,,,,,,,
Amadeu,,,,,,,,,,,,,,,,,,,,,,,,,
Amadis,,,,,,,,,,,,,,,,,,,,,,,,,
Amado,,,,,,,,,,,,,,,,,,,,,,,,,
Amador,,,,,,,,,,,,,,,,,,,,,,,,,
Amâncio,,,,,,,,,,,,,,,,,,,,,,,,,
Amândio,,,,,,,,,,,,,,,,,,,,,,,,,
Amarildo,,,,,,,,,,,,,,,,,,,,,,,,,
Amarílio,,,,,,,,,,,,,,,,,,,,,,,,,
Amaro,,,,,,,,,,,,,,,,,,,,,,,,,
Amauri,,,,,,,,,,,,,,,,,,,,,,,,,
Anacleto,,,,,,,,,,,,,,,,,,,,,,,,,
Anael,,,,,,,,,,,,,,,,,,,,,,,,,
Anaim,,,,,,,,,,,,,,,,,,,,,,,,,
Analide,,,,,,,,,,,,,,,,,,,,,,,,,
Anania,,,,,,,,,,,,,,,,,,,,,,,,,
Ananias,,,,,,,,,,,,,,,,,,,,,,,,,
Anastácio,,,,,,,,,,,,,,,,,,,,,,,,,
André,,,,,,,,,,,,,,,,,,,,,,,,,
Andreias,,,,,,,,,,,,,,,,,,,,,,,,,
Andreo,,,,,,,,,,,,,,,,,,,,,,,,,
Andrés,,,,,,,,,,,,,,,,,,,,,,,,,
Angélico,,,,,,,,,,,,,,,,,,,,,,,,,
Ângelo,,,,,,,,,,,,,,,,,,,,,,,,,
Aníbal,,,,,,,,,,,,,,,,,,,,,,,,,
Aniceto,,,,,,,,,,,,,,,,,,,,,,,,,
Anielo,,,,,,,,,,,,,,,,,,,,,,,,,
Anísio,,,,,,,,,,,,,,,,,,,,,,,,,
Anolido,,,,,,,,,,,,,,,,,,,,,,,,,
Anselmo,,,,,,,,,,,,,,,,,,,,,,,,,
Antão,,,,,,,,,,,,,,,,,,,,,,,,,
Antelmo,,,,,,,,,,,,,,,,,,,,,,,,,
Antenor,,,,,,,,,,,,,,,,,,,,,,,,,
Antero,,,,,,,,,,,,,,,,,,,,,,,,,
Antonelo,,,,,,,,,,,,,,,,,,,,,,,,,
Antonino,,,,,,,,,,,,,,,,,,,,,,,,,
António,,,,,,,,,,,,,,,,,,,,,,,,,
Aparício,,,,,,,,,,,,,,,,,,,,,,,,,
Ápio,,,,,,,,,,,,,,,,,,,,,,,,,
Apolinário,,,,,,,,,,,,,,,,,,,,,,,,,
Apolo,,,,,,,,,,,,,,,,,,,,,,,,,
Apolónio,,,,,,,,,,,,,,,,,,,,,,,,,
Aprígio,,,,,,,,,,,,,,,,,,,,,,,,,
Aquil,,,,,,,,,,,,,,,,,,,,,,,,,
Aquila,,,,,,,,,,,,,,,,,,,,,,,,,
Áquila,,,,,,,,,,,,,,,,,,,,,,,,,
Aquiles,,,,,,,,,,,,,,,,,,,,,,,,,
Aquilino,,,,,,,,,,,,,,,,,,,,,,,,,
Aquino,,,,,,,,,,,,,,,,,,,,,,,,,
Aquira,,,,,,,,,,,,,,,,,,,,,,,,,
Aramis,,,,,,,,,,,,,,,,,,,,,,,,,
Arcádio,,,,,,,,,,,,,,,,,,,,,,,,,
Arcanjo,,,,,,,,,,,,,,,,,,,,,,,,,
Arcelino,,,,,,,,,,,,,,,,,,,,,,,,,
Arcélio,,,,,,,,,,,,,,,,,,,,,,,,,
Arcílio,,,,,,,,,,,,,,,,,,,,,,,,,
Ardingue,,,,,,,,,,,,,,,,,,,,,,,,,
Argemiro,,,,,,,,,,,,,,,,,,,,,,,,,
Argentino,,,,,,,,,,,,,,,,,,,,,,,,,
Ari,,,,,,,,,,,,,,,,,,,,,,,,,
Ariel,,,,,,,,,,,,,,,,,,,,,,,,,
Arine,,,,,,,,,,,,,,,,,,,,,,,,,
Ariosto,,,,,,,,,,,,,,,,,,,,,,,,,
Arisberto,,,,,,,,,,,,,,,,,,,,,,,,,
Aristides,,,,,,,,,,,,,,,,,,,,,,,,,
Aristóteles,,,,,,,,,,,,,,,,,,,,,,,,,
Arlindo,,,,,,,,,,,,,,,,,,,,,,,,,
Armandino,,,,,,,,,,,,,,,,,,,,,,,,,
Armando,,,,,,,,,,,,,,,,,,,,,,,,,
Armelim,,,,,,,,,,,,,,,,,,,,,,,,,
Arménio,,,,,,,,,,,,,,,,,,,,,,,,,
Armindo,,,,,,,,,,,,,,,,,,,,,,,,,
Arnaldo,,,,,,,,,,,,,,,,,,,,,,,,,
Arnoldo,,,,,,,,,,,,,,,,,,,,,,,,,
Aron,,,,,,,,,,,,,,,,,,,,,,,,,
Arquibaldo,,,,,,,,,,,,,,,,,,,,,,,,,
Arquimedes,,,,,,,,,,,,,,,,,,,,,,,,,
Arquimínio,,,,,,,,,,,,,,,,,,,,,,,,,
Arquimino,,,,,,,,,,,,,,,,,,,,,,,,,
Arsénio,,,,,,,,,,,,,,,,,,,,,,,,,
Artur,,,,,,,,,,,,,,,,,,,,,,,,,
Ary,,,,,,,,,,,,,,,,,,,,,,,,,
Ascenso,,,,,,,,,,,,,,,,,,,,,,,,,
Asdrúbal,,,,,,,,,,,,,,,,,,,,,,,,,
Asélio,,,,,,,,,,,,,,,,,,,,,,,,,
Áser,,,,,,,,,,,,,,,,,,,,,,,,,
Assis,,,,,,,,,,,,,,,,,,,,,,,,,
Ataíde,,,,,,,,,,,,,,,,,,,,,,,,,
Atanásio,,,,,,,,,,,,,,,,,,,,,,,,,
Atão,,,,,,,,,,,,,,,,,,,,,,,,,
Átila,,,,,,,,,,,,,,,,,,,,,,,,,
Aubri,,,,,,,,,,,,,,,,,,,,,,,,,
Augusto,,,,,,,,,,,,,,,,,,,,,,,,,
Aureliano,,,,,,,,,,,,,,,,,,,,,,,,,
Aurelino,,,,,,,,,,,,,,,,,,,,,,,,,
Áureo,,,,,,,,,,,,,,,,,,,,,,,,,
Ausendo,,,,,,,,,,,,,,,,,,,,,,,,,
Austrelino,,,,,,,,,,,,,,,,,,,,,,,,,
Avelino,,,,,,,,,,,,,,,,,,,,,,,,,
Aventino,,,,,,,,,,,,,,,,,,,,,,,,,
Axel,,,,,,,,,,,,,,,,,,,,,,,,,
Azélio,,,,,,,,,,,,,,,,,,,,,,,,,
Aziz,,,,,,,,,,,,,,,,,,,,,,,,,
Azuil,,,,,,,,,,,,,,,,,,,,,,,,,
